"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","30","0","0","0","0"
"2","139","0","0","0","45"
"3","476","0","0","0","139"
"4","1333","142","142","0","249"
"5","3386","345","345","1","474"
"6","7680","585","585","6","728"
"7","15492","835","835","14","1089"
"8","29089","1082","1215","28","1463"
"9","51622","1347","1673","51","2107"
"10","86261","1596","2146","78","2933"
"11","123558","1857","2645","107","3302"
"12","162778","2120","3271","144","3811"
"13","206183","2384","3969","193","4488"
"14","254950","2497","4529","252","5161"
"15","307842","2541","5030","317","5766"
"16","355312","2560","5638","384","6329"
"17","401054","2560","6304","455","6879"
"18","443620","2560","6826","540","7683"
"19","491896","2560","7301","628","9280"
"20","542120","2560","7878","720","9840"
"21","603920","2560","8518","820","11146"
"22","672179","2560","9015","928","11994"
"23","750982","2560","9468","1039","12393"
"24","822666","2560","10026","1156","12881"
"25","874137","2560","10634","1279","15525"
"26","918762","2560","11107","1405","16164"
"27","967724","2560","11543","1539","16730"
"28","1012857","2560","12072","1679","17101"
"29","1051949","2560","12649","1828","18508"
"30","1088255","2560","13103","1979","19116"
"31","1122151","2560","13523","2135","19511"
"32","1155412","2560","14024","2294","19889"
"33","1193551","2560","14581","2461","20614"
"34","1232422","2560","15023","2638","22327"
"35","1273989","2560","15428","2818","23951"
"36","1310684","2560","15906","3001","24255"
"37","1353097","2560","16442","3190","25314"
"38","1383353","2560","16863","3385","25724"
"39","1415768","2560","17247","3585","25991"
"40","1448207","2560","17705","3788","26265"
"41","1481453","2560","18218","3995","26699"
"42","1510166","2560","18619","4205","27262"
"43","1537797","2560","18995","4417","27605"
"44","1566662","2560","19435","4631","27904"
"45","1591825","2560","19924","4847","28244"
"46","1618507","2560","20317","5067","28709"
"47","1644541","2560","20680","5289","28997"
"48","1670408","2560","21110","5512","29276"
"49","1693200","2560","21579","5737","29643"
"50","1715871","2560","21954","5966","29966"
"51","1738555","2560","22308","6196","30374"
"52","1761550","2560","22728","6429","30766"
"53","1785567","2560","23184","6666","31155"
"54","1805629","2560","23543","6907","31634"
"55","1825131","2560","23883","7150","31914"
"56","1843483","2560","24290","7397","32163"
"57","1863530","2560","24737","7647","32591"
"58","1884886","2560","25085","7907","33814"
"59","1906173","2560","25408","8173","34544"
"60","1926588","2560","25805","8441","34843"
"61","1946596","2560","26237","8711","35197"
"62","1964769","2560","26574","8984","35724"
"63","1982233","2560","26890","9263","36072"
"64","1999700","2560","27275","9544","36270"
"65","2016540","2560","27698","9826","36528"
"66","2028872","2560","28028","10113","36703"
"67","2036324","2560","28333","10402","36801"
"68","2040813","2560","28627","10693","36886"
"69","2043666","2560","28924","10984","36951"
"70","2045233","2560","29120","11275","37000"
"71","2046007","2560","29301","11566","37020"
"72","2046323","2560","29459","11857","37026"
"73","2046444","2560","29609","12148","37032"
"74","2046471","2560","29669","12439","37032"
"75","2046480","2560","29708","12730","37032"
"76","2046484","2560","29728","13021","37032"
"77","2046485","2560","29733","13312","37032"
"78","2046486","2560","29735","13603","37032"
"79","2046486","2560","29738","13894","37032"
"80","2046486","2560","29738","14185","37032"
"81","2046487","2560","29738","14476","37032"
"82","2046487","2560","29738","14767","37032"
"83","2046487","2560","29739","15058","37032"
