alternative_routes_used,crossings,simulation_step,simulation_time,vehicles,waitings
0.0,0.0,1.0,75.9,0.0,0.0
0.0,0.0,2.0,257.7,0.0,52.0
0.0,0.0,3.0,729.4,0.0,196.0
0.0,102.0,4.0,1997.9,102.0,451.0
0.0,238.0,5.0,5116.6,238.0,862.0
0.0,412.0,6.0,11711.3,412.0,1433.0
0.0,577.0,7.0,25186.7,577.0,2217.0
0.0,828.0,8.0,49414.5,768.0,3207.0
0.0,1069.0,9.0,90327.2,927.0,4424.0
0.0,1351.0,10.0,154696.0,1093.0,5924.6
0.0,1647.0,11.0,225438.2,1282.0,7598.9
0.0,1972.0,12.0,301148.5,1459.0,9468.6
0.0,2315.0,13.0,388100.9,1659.0,11512.3
0.0,2607.0,14.0,490771.5,1762.0,13773.8
0.0,2900.0,15.0,600801.2,1838.0,16201.7
0.0,3186.0,16.0,709963.4,1902.0,18811.1
0.0,3473.9,17.0,809691.1,1947.1,21584.2
0.0,3765.5,18.0,903181.1,1995.1,24567.4
0.0,4010.2,19.0,1005598.1,2024.5,27723.3
0.0,4263.2,20.0,1104816.2,2051.1,31084.5
0.0,4508.1,21.0,1210011.7,2079.5,34609.8
0.0,4751.0,22.0,1312660.9,2107.3,38280.9
0.0,4977.5,23.0,1415829.2,2124.3,42090.0
0.0,5210.6,24.0,1507076.9,2140.3,46038.6
0.0,5433.8,25.0,1601115.8,2164.3,50142.7
0.0,5670.8,26.0,1694097.2,2181.7,54392.3
0.0,5907.5,27.0,1781198.9,2189.2,58787.0
0.0,6143.1,28.0,1867332.8,2198.2,63325.1
0.0,6367.3,29.0,1952373.7,2213.8,68034.1
0.0,6565.6,30.0,2035450.4,2223.8,72898.5
0.0,6783.7,31.0,2123253.9,2233.8,77900.5
0.0,7005.8,32.0,2217512.6,2245.8,83075.4
0.0,7213.1,33.0,2312760.7,2255.9,88363.5
0.0,7415.6,34.0,2408272.9,2260.9,93778.0
0.0,7609.2,35.0,2497120.8,2266.3,99327.6
0.0,7814.4,36.0,2575942.8,2273.9,105023.3
0.0,8016.3,37.0,2660519.9,2279.1,110865.3
0.0,8225.6,38.0,2744286.1,2285.5,116837.4
0.0,8404.5,39.0,2822086.4,2287.8,122965.1
0.0,8594.3,40.0,2897635.0,2290.8,129225.1
0.0,8774.7,41.0,2969915.1,2296.8,135621.0
0.0,8979.7,42.0,3042685.0,2299.8,142136.5
0.0,9165.8,43.0,3122365.4,2303.8,148789.7
0.0,9367.3,44.0,3205921.8,2305.8,155578.1
0.0,9553.1,45.0,3286475.5,2306.8,162493.5
0.0,9754.9,46.0,3374352.8,2307.8,169520.9
0.0,9920.0,47.0,3458511.7,2309.3,176697.8
0.0,10098.9,48.0,3542906.9,2312.9,184004.6
0.0,10284.1,49.0,3619831.4,2314.9,191432.2
0.0,10475.6,50.0,3688691.0,2319.5,198991.3
0.0,10651.2,51.0,3753638.7,2321.5,206702.9
0.0,10821.8,52.0,3822020.2,2322.5,214534.6
0.0,10987.5,53.0,3891608.5,2324.5,222483.9
0.0,11163.3,54.0,3959731.6,2326.5,230547.1
0.0,11332.7,55.0,4026354.2,2326.5,238760.1
0.0,11488.4,56.0,4087622.7,2328.5,247074.9
0.0,11640.0,57.0,4153735.9,2330.9,255505.6
0.0,11792.2,58.0,4217162.7,2332.9,264039.4
0.0,11945.2,59.0,4281798.0,2332.9,272696.1
0.0,12102.2,60.0,4349872.9,2333.5,281462.9
0.0,12240.6,61.0,4416619.7,2333.5,290362.4
0.0,12399.5,62.0,4484076.3,2334.5,299345.7
0.0,12548.4,63.0,4550309.7,2335.5,308450.8
0.0,12703.8,64.0,4615640.7,2336.5,317649.7
0.0,12843.6,65.0,4681664.2,2337.2,326954.9
0.0,12982.7,66.0,4754820.5,2337.2,336349.1
0.0,13124.8,67.0,4824513.5,2337.2,345882.2
0.0,13259.0,68.0,4895269.6,2337.2,355505.6
0.0,13393.1,69.0,4964704.2,2338.2,365227.7
0.0,13507.8,70.0,5036479.7,2338.2,375054.7
0.0,13649.0,71.0,5104748.6,2339.2,384969.3
0.0,13780.5,72.0,5176657.1,2339.2,394969.8
0.0,13891.2,73.0,5250367.8,2339.2,405073.6
0.0,14018.0,74.0,5321457.5,2339.2,415270.0
0.0,14137.9,75.0,5392595.3,2339.2,425551.3
0.0,14252.2,76.0,5467097.4,2340.2,435898.2
0.0,14366.5,77.0,5539398.6,2340.2,446347.7
0.0,14477.3,78.0,5604363.2,2340.2,456875.4
0.0,14588.0,79.0,5665777.0,2340.2,467484.1
0.0,14704.2,80.0,5724429.0,2340.2,478167.4
0.0,14816.6,81.0,5775989.6,2340.2,488927.0
0.0,14918.9,82.0,5828213.0,2340.2,499755.6
0.0,15015.8,83.0,5875377.0,2340.2,510650.2
0.0,15117.9,84.0,5917357.3,2340.2,521627.9
0.0,15226.7,85.0,5958939.0,2340.2,532662.4
0.0,15317.1,86.0,6000572.5,2340.2,543768.5
0.0,15395.3,87.0,6043513.6,2340.2,554949.1
0.0,15486.4,88.0,6086197.0,2340.2,566184.0
0.0,15607.3,89.0,6129568.3,2341.2,577483.1
0.0,15675.1,90.0,6174340.3,2341.2,588859.9
0.0,15751.8,91.0,6218506.0,2341.2,600278.5
0.0,15842.7,92.0,6260835.2,2341.2,611727.9
0.0,15913.5,93.0,6300972.4,2341.2,623226.5
0.0,15983.3,94.0,6338586.0,2341.2,634790.5
0.0,16062.4,95.0,6376605.5,2341.2,646411.8
0.0,16138.2,96.0,6414389.9,2341.8,658078.1
0.0,16207.3,97.0,6451769.5,2341.8,669810.4
0.0,16283.7,98.0,6488790.6,2342.8,681587.7
0.0,16360.0,99.0,6524281.2,2344.8,693405.4
0.0,16430.5,100.0,6561093.4,2346.8,705280.4
