alternative_routes_used,crossings,simulation_step,simulation_time,vehicles,waitings
0.0,0.0,1.0,23.5,0.0,0.0
0.0,0.0,2.0,44.5,0.0,2.0
0.0,0.0,3.0,83.8,0.0,9.0
0.0,7.0,4.0,190.5,7.0,21.0
0.0,16.0,5.0,405.2,16.0,47.0
0.0,30.0,6.0,876.7,30.0,86.0
0.0,43.300000000000004,7.0,1819.1,43.300000000000004,144.29999999999998
0.0,51.3,8.0,3070.7,47.3,211.6
0.0,65.7,9.0,4797.2,55.7,292.3
0.0,85.60000000000001,10.0,7214.4,65.3,386.5
0.0,97.6,11.0,9849.6,72.0,489.7
0.0,116.3,12.0,12656.7,87.7,600.1
0.0,134.79999999999998,13.0,16330.4,97.9,722.4
0.0,152.9,14.0,19922.100000000002,105.7,850.1
0.0,162.4,15.0,23637.7,112.4,985.8
0.0,177.1,16.0,26581.7,114.9,1124.5
0.0,188.5,17.0,28596.8,116.6,1266.7
0.0,203.3,18.0,30189.5,118.3,1412.3
0.0,213.3,19.0,31673.5,119.3,1561.7
0.0,222.6,20.0,33175.6,119.8,1719.7
0.0,237.0,21.0,34854.6,123.3,1881.8
0.0,246.6,22.0,36415.200000000004,124.0,2047.8
0.0,250.7,23.0,37381.6,124.3,2216.6
0.0,259.5,24.0,38329.700000000004,125.3,2388.2000000000003
0.0,267.5,25.0,39302.4,126.4,2562.2999999999997
0.0,273.7,26.0,40037.1,126.4,2738.4
0.0,283.90000000000003,27.0,40614.0,128.0,2916.0
0.0,289.40000000000003,28.0,40967.5,128.4,3096.1
0.0,294.3,29.0,41160.700000000004,130.1,3277.4
0.0,300.59999999999997,30.0,41330.4,132.79999999999998,3461.1
0.0,305.59999999999997,31.0,41514.6,133.0,3647.5
0.0,312.09999999999997,32.0,41735.799999999996,134.20000000000002,3835.2
0.0,317.2,33.0,41987.5,137.0,4026.0
0.0,322.0,34.0,42299.299999999996,137.6,4217.5
0.0,326.7,35.0,42589.299999999996,138.70000000000002,4409.599999999999
0.0,334.09999999999997,36.0,42773.9,139.6,4602.400000000001
0.0,335.7,37.0,42892.1,139.9,4796.7
0.0,340.40000000000003,38.0,43003.9,140.4,4991.0
0.0,343.3,39.0,43050.5,140.70000000000002,5185.599999999999
0.0,346.90000000000003,40.0,43092.6,140.70000000000002,5381.2
0.0,351.5,41.0,43129.299999999996,140.9,5577.7
0.0,355.0,42.0,43161.700000000004,141.4,5775.7
0.0,356.7,43.0,43193.299999999996,141.4,5974.2
0.0,359.5,44.0,43225.5,141.4,6173.7
0.0,362.0,45.0,43249.200000000004,141.4,6373.2
0.0,363.7,46.0,43271.6,141.4,6573.3
0.0,365.2,47.0,43289.200000000004,141.4,6773.4
0.0,365.90000000000003,48.0,43305.799999999996,141.4,6973.5
0.0,367.40000000000003,49.0,43321.1,141.4,7173.8
0.0,367.7,50.0,43334.5,141.4,7374.1
0.0,369.09999999999997,51.0,43348.200000000004,142.4,7574.4
0.0,369.7,52.0,43359.799999999996,142.6,7774.7
0.0,370.40000000000003,53.0,43369.200000000004,142.6,7975.1
0.0,370.7,54.0,43378.6,142.6,8175.5
0.0,371.09999999999997,55.0,43387.9,142.6,8375.9
0.0,371.40000000000003,56.0,43397.1,142.70000000000002,8576.300000000001
0.0,371.40000000000003,57.0,43405.4,142.70000000000002,8776.699999999999
0.0,371.40000000000003,58.0,43413.700000000004,142.70000000000002,8977.1
0.0,371.7,59.0,43422.700000000004,142.70000000000002,9177.5
0.0,372.09999999999997,60.0,43431.299999999996,143.0,9377.9
0.0,372.3,61.0,43439.6,143.0,9578.800000000001
0.0,372.3,62.0,43448.200000000004,143.0,9779.699999999999
0.0,372.5,63.0,43456.4,143.0,9980.6
0.0,374.3,64.0,43465.799999999996,144.70000000000002,10181.5
0.0,375.3,65.0,43473.1,145.70000000000002,10383.1
0.0,375.3,66.0,43484.799999999996,145.70000000000002,10587.699999999999
0.0,375.8,67.0,43496.0,145.70000000000002,10792.300000000001
0.0,375.9,68.0,43508.0,145.70000000000002,10996.9
0.0,375.9,69.0,43519.0,145.70000000000002,11201.5
0.0,375.9,70.0,43530.4,145.70000000000002,11406.1
0.0,377.0,71.0,43541.799999999996,145.70000000000002,11610.699999999999
0.0,378.7,72.0,43553.200000000004,146.4,11815.300000000001
0.0,378.7,73.0,43563.700000000004,146.4,12020.9
0.0,378.7,74.0,43574.299999999996,146.4,12226.5
0.0,380.2,75.0,43585.200000000004,146.9,12432.1
0.0,381.4,76.0,43597.1,147.1,12637.7
0.0,381.9,77.0,43605.6,147.6,12843.3
0.0,382.4,78.0,43613.1,147.6,13048.9
0.0,383.3,79.0,43620.0,147.79999999999998,13254.5
0.0,383.5,80.0,43627.5,147.79999999999998,13460.1
0.0,384.0,81.0,43634.799999999996,147.79999999999998,13665.7
0.0,384.0,82.0,43641.1,147.79999999999998,13871.3
0.0,384.2,83.0,43647.299999999996,147.79999999999998,14076.9
0.0,384.9,84.0,43653.5,147.79999999999998,14282.5
0.0,386.3,85.0,43660.6,148.5,14488.7
0.0,386.3,86.0,43667.299999999996,148.5,14694.9
0.0,386.3,87.0,43673.6,148.5,14901.1
0.0,387.3,88.0,43680.200000000004,148.79999999999998,15107.3
0.0,388.0,89.0,43685.5,148.79999999999998,15313.5
0.0,388.0,90.0,43691.1,148.79999999999998,15519.7
0.0,389.2,91.0,43696.799999999996,149.1,15725.9
0.0,389.7,92.0,43702.5,149.1,15932.2
0.0,389.8,93.0,43708.0,149.1,16138.5
0.0,390.2,94.0,43713.5,149.29999999999998,16344.8
0.0,391.2,95.0,43719.5,149.29999999999998,16551.100000000002
0.0,391.2,96.0,43724.6,149.29999999999998,16757.399999999998
0.0,391.7,97.0,43729.5,149.29999999999998,16963.7
0.0,391.7,98.0,43734.0,149.29999999999998,17170.0
0.0,391.9,99.0,43738.299999999996,149.5,17376.3
0.0,392.3,100.0,43743.0,149.5,17582.600000000002
