alternative_routes_used,crossings,simulation_step,simulation_time,vehicles,waitings
0.0,0.0,1.0,18.3,0.0,0.0
2.0,0.0,2.0,37.8,0.0,0.0
9.0,0.0,3.0,82.8,0.0,0.0
17.0,8.0,4.0,175.1,8.0,0.0
29.0,20.0,5.0,405.9,20.0,3.0
38.0,38.0,6.0,626.4,38.0,6.0
51.0,54.0,7.0,922.5,54.0,9.0
73.0,71.0,8.0,1508.1,67.0,15.0
92.0,84.0,9.0,2411.7,77.0,26.0
132.0,115.0,10.0,3616.2,99.0,39.0
162.0,144.0,11.0,4665.5,114.0,55.0
208.0,169.0,12.0,5765.8,126.0,77.6
301.0,195.2,13.0,6877.2,144.0,107.0
363.4,223.2,14.0,7715.2,151.0,142.9
510.2,248.5,15.0,8780.2,153.0,186.1
553.9,267.5,16.0,9659.0,155.0,233.6
565.0,288.0,17.0,10674.7,156.0,282.1
577.6,313.6,18.0,12166.0,158.0,334.3
598.1,327.9,19.0,12945.8,159.0,389.2
618.3,338.8,20.0,13472.4,159.0,448.3
626.3,351.6,21.0,13626.6,159.0,508.4
641.1,367.0,22.0,13714.5,159.7,570.0
644.4,376.8,23.0,13774.7,159.7,631.9
645.4,384.8,24.0,13803.3,159.7,694.1
646.0,394.0,25.0,13823.4,159.7,756.3
646.1,398.6,26.0,13833.7,159.7,818.5
646.2,402.2,27.0,13842.2,159.7,880.7
647.2,406.5,28.0,13848.9,159.7,942.9
647.6,410.4,29.0,13854.3,159.7,1005.2
647.8,413.3,30.0,13859.1,159.7,1067.5
647.8,415.0,31.0,13863.4,159.7,1129.8
647.8,419.7,32.0,13865.6,159.7,1192.1
647.8,421.0,33.0,13866.5,159.7,1254.4
647.8,422.2,34.0,13867.1,159.7,1316.7
647.8,422.5,35.0,13867.5,159.7,1379.0
647.8,424.0,36.0,13868.0,159.7,1441.3
647.8,424.3,37.0,13868.5,160.0,1503.6
648.1,424.3,38.0,13868.7,160.0,1565.9
648.1,425.4,39.0,13869.2,160.0,1628.2
648.1,426.2,40.0,13869.6,160.0,1690.5
648.1,426.3,41.0,13869.8,160.0,1752.8
648.1,426.3,42.0,13870.2,160.0,1815.1
648.1,427.2,43.0,13870.7,160.0,1877.4
687.0,429.3333333333333,44.0,13400.333333333334,160.0,1978.0
687.0,429.6666666666667,45.0,13400.333333333334,160.0,2042.0
687.0,429.6666666666667,46.0,13400.333333333334,160.0,2106.0
687.0,429.6666666666667,47.0,13400.666666666666,160.0,2170.0
687.0,430.6666666666667,48.0,13400.666666666666,160.0,2234.0
687.0,430.6666666666667,49.0,13401.0,160.0,2298.0
687.0,430.6666666666667,50.0,13401.333333333334,160.0,2362.0
687.0,430.6666666666667,51.0,13401.333333333334,160.0,2426.0
687.0,431.6666666666667,52.0,13401.333333333334,160.0,2490.0
