"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","272","0","0","0","0"
"2","726","0","0","11","0"
"3","1224","0","0","44","0"
"4","2002","37","37","102","0"
"5","3576","73","73","191","0"
"6","6144","114","114","326","0"
"7","9816","158","158","501","0"
"8","16746","196","221","719","0"
"9","28167","246","290","1006","0"
"10","45631","277","354","1360","0"
"11","64929","324","426","1760","0"
"12","84929","361","499","2193","0"
"13","103661","401","583","2665","0"
"14","123310","419","638","3177","0"
"15","143243","439","696","3723","0"
"16","163582","454","759","4309","0"
"17","186421","465","824","4936","0"
"18","209603","477","875","5613","0"
"19","233145","491","926","6321","0"
"20","255040","498","985","7069","0"
"21","278403","504","1029","7853","0"
"22","302535","512","1083","8671","0"
"23","327987","517","1125","9523","0"
"24","351391","522","1165","10397","0"
"25","371331","524","1215","11300","0"
"26","390510","527","1263","12231","0"
"27","406498","536","1305","13198","0"
"28","421034","537","1351","14191","0"
"29","435981","540","1403","15209","0"
"30","451216","542","1449","16267","0"
"31","466378","543","1480","17352","0"
"32","482638","549","1524","18462","0"
"33","496618","553","1579","19605","0"
"34","507843","555","1624","20775","0"
"35","519603","555","1657","21966","0"
"36","530021","556","1695","23183","0"
"37","540250","557","1734","24427","0"
"38","551447","559","1778","25698","0"
"39","561171","562","1804","27003","0"
"40","569835","562","1833","28321","0"
"41","579054","563","1872","29651","0"
"42","588132","563","1909","30994","0"
"43","594441","563","1933","32354","0"
"44","600837","563","1959","33732","0"
"45","605785","564","1992","35122","0"
"46","611337","564","2025","36538","0"
"47","616302","564","2044","37973","0"
"48","620807","565","2072","39429","0"
"49","624961","565","2097","40900","0"
"50","629394","565","2122","42398","0"
"51","633365","566","2139","43912","0"
"52","637096","567","2164","45434","0"
"53","640784","567","2188","46964","0"
"54","644246","567","2207","48506","0"
"55","648009","567","2222","50061","0"
"56","651130","568","2250","51623","0"
"57","653952","568","2266","53196","0"
"58","656707","568","2288","54772","0"
"59","659433","568","2302","56367","0"
"60","661880","568","2323","57970","0"
"61","664280","568","2341","59585","0"
"62","666541","569","2360","61206","0"
"63","668643","569","2371","62838","0"
"64","670829","569","2388","64480","0"
"65","672948","569","2402","66133","0"
"66","674881","569","2419","67793","0"
"67","677059","569","2432","69463","0"
"68","678920","569","2444","71140","0"
"69","680609","569","2458","72830","0"
"70","682187","569","2480","74523","0"
"71","683504","569","2493","76224","0"
"72","684477","569","2507","77940","0"
"73","685274","569","2517","79659","0"
"74","686020","569","2529","81384","0"
"75","686755","569","2536","83114","0"
"76","687474","570","2546","84846","0"
"77","688280","570","2554","86586","0"
"78","689118","570","2559","88331","0"
"79","689937","570","2565","90079","0"
"80","690762","570","2574","91835","0"
"81","691432","570","2580","93599","0"
"82","692049","570","2583","95367","0"
"83","692622","571","2589","97137","0"
"84","693138","571","2595","98908","0"
"85","693642","571","2600","100680","0"
"86","694105","571","2603","102452","0"
"87","694585","571","2605","104228","0"
"88","695063","571","2610","106006","0"
"89","695552","572","2614","107784","0"
"90","696065","572","2617","109562","0"
"91","696555","572","2619","111341","0"
"92","697049","572","2622","113120","0"
"93","697550","572","2623","114899","0"
"94","698025","572","2627","116678","0"
"95","698524","572","2630","118458","0"
"96","699081","572","2631","120241","0"
"97","699631","572","2632","122026","0"
"98","700182","572","2634","123811","0"
"99","700682","572","2636","125598","0"
"100","701110","572","2637","127386","0"
