"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","6","0","0","0","0"
"2","34","0","0","11","0"
"3","127","0","0","46","0"
"4","386","31","31","104","0"
"5","1106","60","60","195","0"
"6","2664","99","99","336","0"
"7","6012","141","141","529","0"
"8","11882","183","200","762","0"
"9","21579","237","265","1070","0"
"10","36186","265","319","1451","0"
"11","51753","318","396","1853","0"
"12","70282","369","480","2291","0"
"13","88278","425","577","2777","0"
"14","106610","455","643","3332","0"
"15","123210","477","714","3913","0"
"16","140432","490","783","4542","0"
"17","156727","501","847","5209","0"
"18","174893","514","897","5919","0"
"19","195286","526","963","6655","0"
"20","214746","535","1024","7422","0"
"21","233739","546","1083","8224","0"
"22","254081","553","1130","9057","0"
"23","276731","557","1192","9918","0"
"24","300186","563","1254","10816","0"
"25","322557","565","1302","11751","0"
"26","342753","570","1346","12730","0"
"27","360994","574","1401","13754","0"
"28","377675","575","1457","14812","0"
"29","393201","577","1507","15907","0"
"30","407803","579","1548","17031","0"
"31","421003","582","1601","18176","0"
"32","432155","585","1642","19360","0"
"33","442726","589","1692","20565","0"
"34","452670","591","1745","21801","0"
"35","462470","593","1791","23062","0"
"36","472646","594","1832","24358","0"
"37","481745","597","1871","25673","0"
"38","491472","598","1907","27014","0"
"39","498580","598","1950","28372","0"
"40","505330","598","1997","29752","0"
"41","510211","598","2034","31148","0"
"42","515099","598","2053","32568","0"
"43","519979","598","2085","33996","0"
"44","524927","598","2133","35432","0"
"45","530055","598","2168","36889","0"
"46","535258","599","2188","38367","0"
"47","539765","599","2216","39862","0"
"48","544335","599","2245","41371","0"
"49","548010","599","2276","42891","0"
"50","551452","599","2301","44427","0"
"51","554800","600","2322","45970","0"
"52","558280","600","2344","47526","0"
"53","561343","602","2375","49089","0"
"54","564109","602","2402","50679","0"
"55","567055","603","2421","52288","0"
"56","569913","603","2434","53906","0"
"57","572718","603","2461","55535","0"
"58","575153","603","2484","57178","0"
"59","577370","604","2503","58828","0"
"60","579375","604","2521","60492","0"
"61","581014","604","2545","62161","0"
"62","582694","604","2564","63847","0"
"63","584281","604","2578","65540","0"
"64","585844","604","2592","67240","0"
"65","587423","604","2609","68944","0"
"66","588853","604","2623","70657","0"
"67","590418","605","2636","72376","0"
"68","591870","606","2648","74099","0"
"69","593152","606","2662","75826","0"
"70","594469","606","2678","77559","0"
"71","595611","606","2688","79305","0"
"72","596768","606","2696","81056","0"
"73","597920","606","2698","82808","0"
"74","599028","607","2710","84562","0"
"75","600176","607","2718","86321","0"
"76","601308","607","2727","88083","0"
"77","602471","607","2731","89853","0"
"78","603686","607","2741","91627","0"
"79","604889","607","2750","93407","0"
"80","606220","607","2757","95190","0"
"81","607629","607","2763","96979","0"
"82","608973","607","2770","98769","0"
"83","610236","607","2778","100561","0"
"84","611296","607","2781","102356","0"
"85","612307","607","2785","104155","0"
"86","613287","607","2792","105957","0"
"87","614323","607","2795","107760","0"
"88","615362","608","2799","109563","0"
"89","616267","608","2803","111369","0"
"90","617141","608","2808","113176","0"
"91","618055","608","2818","114985","0"
"92","618836","608","2820","116796","0"
"93","619601","608","2824","118607","0"
"94","620374","608","2830","120418","0"
"95","621017","608","2836","122233","0"
"96","621528","609","2839","124048","0"
"97","622025","609","2846","125864","0"
"98","622501","609","2850","127681","0"
"99","622972","609","2858","129505","0"
"100","623475","609","2859","131331","0"
