"simulation_step","simulation_time","vehicles","crossings","alternative_routes_used"
"1","548","0","0","0"
"2","1313","0","0","48"
"3","2177","0","0","144"
"4","4252","139","139","246"
"5","7314","324","324","464"
"6","11929","535","535","828"
"7","19206","800","800","1251"
"8","31567","1027","1147","1984"
"9","51901","1278","1540","2914"
"10","85640","1532","1965","4521"
"11","124795","1756","2398","6737"
"12","166290","1974","2908","9786"
"13","218384","2225","3470","23549"
"14","279468","2341","3916","36872"
"15","344308","2410","4338","43337"
"16","410579","2434","4781","50942"
"17","477826","2453","5243","62841"
"18","548305","2465","5616","76250"
"19","620296","2470","5968","95023"
"20","701607","2482","6331","140046"
"21","780369","2490","6700","171615"
"22","858124","2497","7038","188591"
"23","941927","2506","7363","232294"
"24","1028655","2507","7669","276475"
"25","1118690","2512","7991","311019"
"26","1210532","2514","8283","354161"
"27","1305538","2517","8547","415263"
"28","1391499","2521","8821","480613"
"29","1480469","2522","9099","534059"
"30","1560684","2524","9377","577048"
"31","1637619","2530","9628","624352"
"32","1715977","2531","9887","646519"
"33","1788425","2534","10148","668687"
"34","1865849","2535","10387","687314"
"35","1945613","2535","10623","741497"
"36","2032746","2536","10865","824539"
"37","2114242","2536","11100","905471"
"38","2189483","2536","11322","950318"
"39","2266931","2536","11529","980793"
"40","2348546","2536","11743","1130004"
"41","2419737","2537","11977","1175002"
"42","2489914","2537","12188","1452120"
"43","2556020","2538","12391","1499739"
"44","2625861","2538","12577","1552780"
"45","2690102","2539","12788","1576545"
"46","2756643","2539","13000","1622949"
"47","2818668","2540","13200","1658252"
"48","2877712","2540","13367","1683821"
"49","2932565","2540","13583","1704820"
"50","2982969","2541","13769","1718228"
"51","3036968","2541","13949","1727748"
"52","3089470","2541","14134","1741260"
"53","3143793","2541","14332","1757825"
"54","3192541","2541","14492","1774470"
"55","3235499","2541","14675","1782238"
"56","3275948","2541","14831","1793746"
"57","3314241","2541","15014","1805543"
"58","3350451","2541","15196","1816598"
"59","3384726","2541","15361","1826329"
"60","3416049","2541","15520","1835532"
"61","3447377","2541","15675","1842904"
"62","3481895","2541","15827","1853678"
"63","3518316","2541","15993","1865233"
"64","3551686","2541","16151","1878225"
"65","3587714","2541","16290","1897171"
"66","3621355","2541","16446","1912496"
"67","3653425","2541","16597","1922347"
"68","3684724","2541","16746","1931900"
"69","3713853","2541","16880","1939438"
"70","3742408","2541","17029","1947771"
"71","3769303","2541","17175","1957169"
"72","3797875","2541","17317","1972665"
"73","3822673","2541","17435","1981819"
"74","3847105","2541","17558","1996496"
"75","3873218","2541","17707","2017589"
"76","3899850","2541","17838","2053930"
"77","3922505","2541","17951","2073484"
"78","3945694","2541","18059","2084411"
"79","3968651","2541","18194","2095968"
"80","3988217","2541","18309","2106706"
"81","4008421","2541","18413","2113596"
"82","4027137","2541","18529","2120048"
"83","4045086","2541","18654","2131712"
"84","4065686","2541","18766","2135876"
"85","4084802","2541","18868","2140118"
"86","4103896","2541","18970","2145625"
"87","4122422","2541","19072","2150455"
"88","4143070","2541","19165","2155203"
"89","4161638","2541","19261","2159398"
"90","4179917","2541","19355","2162769"
"91","4196850","2541","19464","2166260"
"92","4212698","2541","19542","2170139"
"93","4225121","2541","19624","2173761"
"94","4237779","2541","19709","2177222"
"95","4248012","2541","19802","2179797"
"96","4256382","2541","19887","2182752"
"97","4264792","2541","19959","2184987"
"98","4273715","2541","20035","2187180"
"99","4282057","2541","20111","2188942"
"100","4290780","2541","20182","2191234"
