alternative_routes_used,crossings,simulation_step,simulation_time,vehicles
0.0,0.0,1.0,69.3,0.0
44.0,0.0,2.0,247.1,0.0
114.0,0.0,3.0,651.7,0.0
207.0,109.0,4.0,1666.8,109.0
396.0,267.6,5.0,4037.5,267.6
609.6,460.3,6.0,9200.4,460.3
1005.3,647.1,7.0,19386.5,647.1
1655.4,920.3,8.0,38553.7,843.8
2604.7,1201.6,9.0,73279.0,1032.6
4239.9,1521.2,10.0,125746.2,1232.6
5716.9,1848.7,11.0,187795.7,1441.2
7528.7,2243.1,12.0,256018.6,1660.1
9495.6,2656.8,13.0,329981.4,1899.5
11774.9,2968.0,14.0,411521.7,2015.9
13959.1,3259.9,15.0,496812.0,2100.6
16223.7,3554.7,16.0,589575.5,2146.5
18508.7,3877.6,17.0,678605.9,2182.4
21197.2,4123.9,18.0,776491.9,2212.5
23763.2,4369.3,19.0,869489.4,2248.6
26559.6,4622.9,20.0,961175.4,2278.5
29304.7,4881.7,21.0,1055330.8,2300.4
32588.6,5097.1,22.0,1149865.8,2319.9
35733.6,5312.8,23.0,1238576.9,2338.0
38329.5,5514.4,24.0,1317156.5,2352.9
40635.4,5736.8,25.0,1388439.4,2364.5
42651.3,5929.7,26.0,1451064.5,2375.4
44374.8,6120.0,27.0,1505784.7,2386.5
46264.1,6296.7,28.0,1555943.2,2393.7
48119.9,6494.6,29.0,1600846.4,2404.0
49882.0,6678.0,30.0,1641439.7,2415.4
51503.5,6852.6,31.0,1679127.0,2422.2
53017.9,7022.7,32.0,1714034.1,2427.6
54529.0,7193.5,33.0,1746075.8,2432.1
55958.5,7348.1,34.0,1776416.5,2435.5
57290.3,7503.7,35.0,1803947.2,2439.8
58589.0,7660.8,36.0,1829258.4,2442.4
59769.4,7811.3,37.0,1851932.9,2444.7
60872.7,7944.4,38.0,1872179.4,2447.4
61851.2,8079.2,39.0,1890521.5,2449.7
62790.3,8200.3,40.0,1907234.9,2451.3
63579.4,8325.6,41.0,1922373.5,2452.7
64300.3,8442.1,42.0,1935741.7,2454.2
64946.7,8560.7,43.0,1947548.1,2456.1
65563.7,8672.2,44.0,1958584.2,2457.3
66110.2,8784.2,45.0,1968510.1,2458.9
66605.5,8885.5,46.0,1977624.0,2459.8
67018.5,8981.1,47.0,1985999.7,2460.4
67383.6,9072.0,48.0,1993448.3,2460.8
67739.2,9163.0,49.0,2000584.0,2461.5
68070.9,9245.9,50.0,2007097.7,2461.7
68361.4,9328.1,51.0,2012780.0,2462.0
68629.5,9405.7,52.0,2018045.5,2462.6
68890.0,9478.2,53.0,2022474.9,2463.0
69122.4,9544.4,54.0,2026462.3,2463.6
69344.8,9612.5,55.0,2029856.3,2463.9
69537.5,9675.3,56.0,2032896.8,2464.2
69704.8,9732.8,57.0,2035496.8,2464.5
69868.6,9790.0,58.0,2037833.0,2465.1
70011.5,9848.0,59.0,2039920.9,2465.5
70146.6,9897.1,60.0,2041779.0,2465.7
70253.4,9943.4,61.0,2043472.1,2465.9
70365.9,9985.8,62.0,2045060.9,2466.2
70463.2,10027.0,63.0,2046464.1,2466.5
70559.7,10065.6,64.0,2047822.1,2466.6
70636.3,10101.2,65.0,2049043.4,2466.6
70713.2,10134.8,66.0,2050191.1,2467.0
70782.6,10166.3,67.0,2051205.7,2467.5
70848.0,10196.8,68.0,2052162.0,2468.1
70906.1,10221.7,69.0,2053022.5,2468.3
70962.6,10245.7,70.0,2053828.1,2468.5
71013.5,10269.7,71.0,2054581.9,2468.7
71061.9,10292.6,72.0,2055287.8,2469.2
71106.9,10311.3,73.0,2055926.2,2469.4
71148.9,10330.6,74.0,2056529.1,2469.6
71189.7,10348.6,75.0,2057108.4,2469.8
71230.8,10366.3,76.0,2057668.4,2469.9
71269.6,10381.9,77.0,2058193.4,2470.4
71307.2,10398.3,78.0,2058717.8,2471.0
71341.5,10413.0,79.0,2059227.0,2472.0
71374.0,10428.1,80.0,2059725.3,2472.3
71403.5,10440.3,81.0,2060202.6,2472.5
71435.5,10452.4,82.0,2060675.1,2472.7
71465.1,10466.0,83.0,2061117.9,2473.8
71495.8,10478.5,84.0,2061550.8,2474.2
71524.0,10490.4,85.0,2061969.9,2475.0
71552.2,10502.8,86.0,2062379.7,2475.2
71580.3,10513.9,87.0,2062770.4,2475.6
71608.1,10525.6,88.0,2063156.4,2476.1
71633.7,10536.6,89.0,2063524.3,2476.6
71661.3,10547.3,90.0,2063903.8,2477.1
71686.3,10557.3,91.0,2064278.1,2477.3
71711.6,10566.5,92.0,2064632.5,2477.8
71735.3,10575.7,93.0,2064992.8,2478.1
71761.9,10585.5,94.0,2065351.0,2478.5
71787.2,10596.8,95.0,2065699.1,2479.1
71813.1,10606.9,96.0,2066043.7,2479.9
71840.4,10616.7,97.0,2066387.4,2480.7
71865.8,10625.6,98.0,2066733.0,2480.9
71890.8,10635.3,99.0,2067078.7,2481.6
71914.5,10645.3,100.0,2067397.4,2482.5
