"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","2","0","0","0","0"
"2","9","0","0","3","0"
"3","34","0","0","11","0"
"4","97","4","4","29","0"
"5","244","8","8","60","0"
"6","573","22","22","97","0"
"7","1092","36","36","149","0"
"8","2006","43","43","216","0"
"9","3581","57","59","295","0"
"10","5707","65","69","399","0"
"11","7635","75","82","505","0"
"12","9169","91","108","613","0"
"13","10540","102","124","730","0"
"14","11863","109","136","854","0"
"15","13006","111","143","988","0"
"16","13955","114","156","1125","0"
"17","14756","114","166","1268","0"
"18","15426","115","175","1413","0"
"19","15937","118","180","1559","0"
"20","16350","122","189","1706","0"
"21","16737","130","201","1862","0"
"22","17033","131","205","2020","0"
"23","17279","135","213","2180","0"
"24","17419","137","218","2341","0"
"25","17517","139","224","2502","0"
"26","17602","139","226","2663","0"
"27","17684","140","234","2825","0"
"28","17747","140","235","2988","0"
"29","17801","142","242","3151","0"
"30","17835","143","245","3314","0"
"31","17862","144","249","3478","0"
"32","17884","146","251","3643","0"
"33","17908","146","252","3809","0"
"34","17928","146","252","3975","0"
"35","17950","147","255","4141","0"
"36","17961","147","256","4307","0"
"37","17971","147","257","4473","0"
"38","17983","147","262","4640","0"
"39","17990","147","263","4809","0"
"40","17996","147","263","4978","0"
"41","18004","148","266","5147","0"
"42","18008","149","270","5317","0"
"43","18013","149","270","5488","0"
"44","18018","149","270","5659","0"
"45","18023","149","271","5830","0"
"46","18028","149","273","6001","0"
"47","18031","149","273","6172","0"
"48","18034","149","273","6343","0"
"49","18037","149","274","6514","0"
"50","18040","149","275","6685","0"
"51","18043","149","276","6856","0"
"52","18047","149","276","7028","0"
"53","18051","149","277","7200","0"
"54","18054","149","279","7372","0"
"55","18056","149","280","7544","0"
"56","18058","149","280","7716","0"
"57","18060","149","280","7888","0"
"58","18061","149","280","8060","0"
"59","18062","149","280","8232","0"
"60","18063","149","280","8404","0"
"61","18065","149","280","8576","0"
"62","18066","149","280","8748","0"
"63","18067","149","280","8920","0"
"64","18068","149","280","9092","0"
"65","18070","149","280","9264","0"
"66","18071","149","280","9436","0"
"67","18072","149","280","9608","0"
"68","18073","149","280","9780","0"
"69","18075","149","280","9952","0"
"70","18076","149","280","10124","0"
"71","18077","150","281","10296","0"
"72","18079","150","281","10469","0"
"73","18080","150","281","10642","0"
"74","18082","150","281","10815","0"
"75","18084","151","282","10988","0"
"76","18085","151","282","11162","0"
"77","18087","151","282","11336","0"
"78","18090","151","283","11510","0"
"79","18091","151","283","11684","0"
"80","18093","151","283","11858","0"
"81","18094","151","283","12032","0"
"82","18095","151","283","12206","0"
"83","18097","151","284","12380","0"
"84","18098","151","284","12554","0"
"85","18099","151","284","12728","0"
"86","18101","151","284","12902","0"
"87","18102","151","285","13076","0"
"88","18103","151","285","13250","0"
"89","18104","151","285","13424","0"
"90","18105","151","285","13598","0"
"91","18106","151","285","13772","0"
"92","18107","151","285","13946","0"
"93","18108","151","285","14120","0"
"94","18108","151","285","14294","0"
"95","18110","152","286","14468","0"
"96","18110","152","286","14642","0"
"97","18111","152","286","14816","0"
"98","18112","152","286","14990","0"
"99","18113","152","286","15164","0"
"100","18114","152","286","15338","0"
