"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","2","0","0","0","0"
"2","10","0","0","3","0"
"3","34","0","0","11","0"
"4","102","6","6","26","0"
"5","278","14","14","51","0"
"6","671","27","27","82","0"
"7","1322","44","44","127","0"
"8","2175","53","55","180","0"
"9","3597","66","75","242","0"
"10","5310","76","88","322","0"
"11","7019","86","106","406","0"
"12","8398","98","124","495","0"
"13","9677","105","139","587","0"
"14","10396","115","155","681","0"
"15","10997","118","166","787","0"
"16","11481","120","177","894","0"
"17","11919","123","192","1005","0"
"18","12147","125","203","1119","0"
"19","12316","129","210","1235","0"
"20","12464","133","220","1352","0"
"21","12567","134","222","1470","0"
"22","12662","134","230","1588","0"
"23","12721","137","234","1706","0"
"24","12774","138","237","1824","0"
"25","12848","138","242","1942","0"
"26","12923","139","249","2061","0"
"27","12974","139","249","2180","0"
"28","13025","140","250","2299","0"
"29","13065","141","252","2419","0"
"30","13104","144","256","2539","0"
"31","13135","145","259","2660","0"
"32","13160","145","259","2782","0"
"33","13185","147","261","2904","0"
"34","13205","147","261","3026","0"
"35","13227","147","262","3148","0"
"36","13247","147","263","3270","0"
"37","13269","149","265","3393","0"
"38","13291","149","266","3516","0"
"39","13307","150","269","3639","0"
"40","13319","150","269","3762","0"
"41","13332","151","272","3885","0"
"42","13342","152","273","4008","0"
"43","13350","152","275","4131","0"
"44","13356","152","278","4254","0"
"45","13359","152","278","4377","0"
"46","13361","152","279","4500","0"
"47","13364","152","280","4623","0"
"48","13367","152","283","4746","0"
"49","13369","152","283","4870","0"
"50","13372","152","283","4994","0"
"51","13375","152","284","5118","0"
"52","13378","152","285","5242","0"
"53","13380","152","286","5366","0"
"54","13382","152","286","5490","0"
"55","13385","153","287","5614","0"
"56","13388","153","288","5738","0"
"57","13390","153","288","5862","0"
"58","13393","153","288","5986","0"
"59","13396","153","288","6110","0"
"60","13399","153","288","6234","0"
"61","13402","153","289","6358","0"
"62","13404","153","289","6482","0"
"63","13406","153","289","6606","0"
"64","13408","153","289","6730","0"
"65","13410","153","289","6854","0"
"66","13412","153","289","6978","0"
"67","13414","153","289","7102","0"
"68","13416","153","289","7226","0"
"69","13418","153","289","7350","0"
"70","13420","153","289","7474","0"
"71","13422","153","289","7598","0"
"72","13424","153","289","7722","0"
"73","13426","153","289","7846","0"
"74","13428","153","289","7970","0"
"75","13430","153","289","8094","0"
"76","13432","153","289","8218","0"
"77","13434","153","289","8342","0"
"78","13437","154","290","8466","0"
"79","13439","154","290","8590","0"
"80","13441","154","290","8714","0"
"81","13443","154","291","8838","0"
"82","13445","154","291","8962","0"
"83","13446","154","291","9086","0"
"84","13448","154","291","9210","0"
"85","13450","154","292","9334","0"
"86","13452","156","294","9458","0"
"87","13453","156","294","9582","0"
"88","13455","156","294","9706","0"
"89","13457","157","295","9830","0"
"90","13458","157","295","9954","0"
"91","13459","157","295","10078","0"
"92","13460","157","296","10202","0"
"93","13462","157","297","10326","0"
"94","13462","157","298","10450","0"
"95","13463","157","298","10574","0"
"96","13464","157","298","10698","0"
"97","13465","157","298","10822","0"
"98","13466","158","299","10946","0"
"99","13466","158","299","11070","0"
"100","13466","158","299","11194","0"
