"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","7","0","0","0","0"
"2","35","0","0","8","0"
"3","134","0","0","39","0"
"4","412","26","26","102","0"
"5","1153","81","81","192","0"
"6","2820","124","124","327","0"
"7","6213","163","163","513","0"
"8","11419","203","225","738","0"
"9","19083","245","301","1010","0"
"10","30693","291","378","1355","0"
"11","42848","332","451","1737","0"
"12","55649","369","515","2164","0"
"13","68902","408","607","2625","0"
"14","83148","439","678","3142","0"
"15","98423","457","734","3687","0"
"16","112714","473","790","4259","0"
"17","125739","482","859","4855","0"
"18","138207","494","922","5495","0"
"19","151305","506","972","6164","0"
"20","164397","520","1033","6854","0"
"21","176396","524","1075","7568","0"
"22","186104","531","1124","8302","0"
"23","194977","538","1171","9057","0"
"24","203485","541","1214","9829","0"
"25","209300","542","1254","10615","0"
"26","214039","543","1308","11417","0"
"27","217736","549","1348","12234","0"
"28","221070","550","1391","13074","0"
"29","224313","554","1432","13930","0"
"30","227665","556","1477","14806","0"
"31","230477","557","1496","15698","0"
"32","232589","558","1529","16595","0"
"33","234519","561","1561","17502","0"
"34","236340","561","1593","18415","0"
"35","237906","562","1611","19337","0"
"36","239299","564","1636","20262","0"
"37","240600","566","1663","21199","0"
"38","241601","567","1686","22149","0"
"39","242392","567","1707","23103","0"
"40","243137","568","1717","24071","0"
"41","243899","568","1732","25042","0"
"42","244530","568","1749","26016","0"
"43","245132","568","1762","26994","0"
"44","245608","568","1776","27973","0"
"45","245953","570","1796","28955","0"
"46","246243","570","1805","29944","0"
"47","246528","570","1815","30936","0"
"48","246790","571","1827","31933","0"
"49","247003","573","1840","32930","0"
"50","247220","574","1851","33931","0"
"51","247434","576","1859","34936","0"
"52","247628","576","1864","35943","0"
"53","247829","576","1874","36953","0"
"54","248018","577","1880","37969","0"
"55","248175","579","1890","38987","0"
"56","248332","579","1894","40008","0"
"57","248482","581","1901","41029","0"
"58","248620","581","1906","42050","0"
"59","248753","581","1912","43073","0"
"60","248867","582","1918","44099","0"
"61","248987","582","1924","45126","0"
"62","249108","583","1929","46154","0"
"63","249218","584","1937","47182","0"
"64","249320","584","1939","48211","0"
"65","249416","584","1944","49240","0"
"66","249501","584","1946","50270","0"
"67","249587","585","1950","51300","0"
"68","249665","585","1951","52330","0"
"69","249743","586","1956","53360","0"
"70","249811","586","1957","54392","0"
"71","249880","586","1960","55425","0"
"72","249950","588","1962","56458","0"
"73","250019","589","1964","57491","0"
"74","250089","589","1965","58524","0"
"75","250155","590","1967","59559","0"
"76","250211","590","1967","60594","0"
"77","250270","590","1969","61629","0"
"78","250324","590","1970","62665","0"
"79","250387","590","1971","63703","0"
"80","250449","593","1977","64741","0"
"81","250517","594","1980","65779","0"
"82","250603","594","1981","66819","0"
"83","250690","595","1984","67859","0"
"84","250776","595","1987","68899","0"
"85","250854","597","1990","69941","0"
"86","250930","597","1992","70986","0"
"87","251001","597","1995","72034","0"
"88","251065","597","1998","73082","0"
"89","251138","597","2000","74132","0"
"90","251214","598","2004","75182","0"
"91","251290","598","2008","76234","0"
"92","251363","599","2012","77286","0"
"93","251427","599","2015","78338","0"
"94","251486","600","2017","79391","0"
"95","251554","602","2022","80445","0"
"96","251605","604","2028","81500","0"
"97","251653","604","2029","82555","0"
"98","251692","604","2030","83610","0"
"99","251732","605","2032","84665","0"
"100","251771","605","2035","85721","0"
