"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","110","0","0","0","0"
"2","165","0","0","2","0"
"3","265","0","0","9","0"
"4","431","3","3","24","0"
"5","856","13","13","45","0"
"6","1248","21","21","71","0"
"7","1913","31","31","107","0"
"8","3066","40","43","163","0"
"9","4144","47","56","233","0"
"10","5705","57","67","314","0"
"11","7449","72","85","401","0"
"12","8729","85","101","502","0"
"13","9655","98","117","610","0"
"14","10467","103","129","720","0"
"15","11061","110","143","834","0"
"16","11495","113","153","949","0"
"17","11811","116","169","1067","0"
"18","12002","120","179","1187","0"
"19","12138","121","184","1310","0"
"20","12243","122","187","1433","0"
"21","12345","128","198","1556","0"
"22","12406","131","204","1680","0"
"23","12461","135","209","1807","0"
"24","12508","136","214","1937","0"
"25","12541","137","218","2069","0"
"26","12563","142","225","2201","0"
"27","12582","142","229","2336","0"
"28","12600","142","231","2471","0"
"29","12612","145","238","2606","0"
"30","12620","146","239","2742","0"
"31","12629","149","243","2878","0"
"32","12647","149","248","3016","0"
"33","12658","149","250","3154","0"
"34","12668","149","250","3292","0"
"35","12677","150","254","3430","0"
"36","12684","150","255","3569","0"
"37","12691","150","256","3708","0"
"38","12697","150","257","3847","0"
"39","12699","150","257","3988","0"
"40","12702","150","259","4129","0"
"41","12704","150","260","4270","0"
"42","12706","150","260","4411","0"
"43","12708","150","260","4552","0"
"44","12710","150","260","4693","0"
"45","12711","150","260","4834","0"
"46","12713","150","260","4975","0"
"47","12715","151","261","5116","0"
"48","12716","151","262","5257","0"
"49","12718","151","262","5398","0"
"50","12720","151","262","5539","0"
"51","12722","152","263","5680","0"
"52","12722","152","263","5821","0"
"53","12723","152","263","5962","0"
"54","12724","153","264","6103","0"
"55","12725","153","265","6244","0"
"56","12726","153","265","6385","0"
"57","12726","153","265","6526","0"
"58","12727","153","265","6667","0"
"59","12728","153","265","6808","0"
"60","12728","153","266","6949","0"
"61","12729","153","266","7090","0"
"62","12730","153","266","7231","0"
"63","12730","153","266","7372","0"
"64","12731","153","266","7513","0"
"65","12732","153","266","7654","0"
"66","12732","153","266","7795","0"
"67","12733","154","267","7936","0"
"68","12734","154","267","8077","0"
"69","12734","154","267","8218","0"
"70","12735","154","267","8359","0"
"71","12735","154","267","8500","0"
"72","12736","154","267","8641","0"
"73","12736","154","267","8782","0"
"74","12737","154","268","8923","0"
"75","12738","154","268","9064","0"
"76","12738","154","268","9205","0"
"77","12739","154","268","9346","0"
"78","12739","154","268","9487","0"
"79","12740","154","268","9628","0"
"80","12740","154","268","9769","0"
"81","12740","154","268","9910","0"
"82","12741","154","268","10051","0"
"83","12742","154","268","10192","0"
"84","12743","154","268","10333","0"
"85","12744","155","269","10474","0"
"86","12745","157","271","10615","0"
"87","12747","157","271","10756","0"
"88","12748","157","271","10897","0"
"89","12749","157","271","11038","0"
"90","12749","157","271","11179","0"
"91","12750","157","271","11320","0"
"92","12751","157","272","11461","0"
"93","12751","157","273","11602","0"
"94","12752","157","274","11743","0"
"95","12752","158","275","11884","0"
"96","12752","158","275","12025","0"
"97","12753","158","275","12166","0"
"98","12753","158","275","12307","0"
"99","12753","158","275","12448","0"
"100","12753","158","275","12589","0"
