"simulation_step","simulation_time","vehicles","crossings","waitings","alternative_routes_used"
"1","4","0","0","1","0"
"2","20","0","0","4","0"
"3","86","0","0","8","0"
"4","147","0","0","12","0"
"5","206","1","1","16","0"
"6","234","2","2","20","0"
"7","247","3","3","24","0"
"8","252","3","3","28","0"
"9","258","3","3","32","0"
"10","264","5","5","36","0"
"11","268","6","6","40","0"
"12","272","6","6","44","0"
"13","276","6","6","48","0"
"14","280","6","6","52","0"
"15","284","6","8","56","0"
"16","287","6","9","60","0"
